MODEL 3: 4.673948991818525
LEAF: 11.046787992390206
E-TRON: 0.0
E-GOLF: 12.23579900772357
MODEL X: 28.221915987152222
500: -0.8489315559425884
I3: 10.848778673609015
BOLT EV: -0.0
SOUL: -0.0
SPARK: 0.0
SOUL EV: 17.99999999999997
MODEL S: 5.9560242367332155
IONIQ: -19.116247450713804
I-MIEV: -0.07043286867204698
FOCUS: 3.5897801484348184
ROADSTER: 10.304659498207887
NIRO: 0.0
FORTWO ELECTRIC DRIVE: 1.301033372861258
B-CLASS: 0.0
FORTWO: -10.029411764705884
I-PACE: 0.0
EQ FORTWO: -0.0
TRANSIT CONNECT ELECTRIC: -0.0
KONA: 0.0
RAV4: 0.6270448393550665
RANGER: -5.818181818181818
CITY: 0.0
S-10 PICKUP: 0.0
